"mpio_cdpmp","dep_amb","dep_nombre","mun_amb","mun_nombre","amb_code","dep_code","mesas_instaladas","mesas_escrutadas","votantes_potenciales","votantes","no_marcados","nulos","validos","LEONARDO.HUMBERTO.HUERTA.GUTIERREZ","CLAUDIA.NAYIBE.LOPEZ.HERNANDEZ","PALOMA.SUSANA.VALENCIA.LASERNA","JUAN.MANUEL.GALAN.PACHON","VICTORIA.EUGENIA.DAVILA.HOYOS","ENRIQUE.PEÑALOSA.LONDOÑO","JUAN.DANIEL.OVIEDO.ARANGO","MAURICIO.CARDENAS.SANTAMARIA","JUAN.CARLOS.PINZON.BUENO","DAVID.ANDRES.LUNA.SANCHEZ","ANIBAL.GAVIRIA.CORREA","ROY.LEONARDO.BARRERAS.MONTEALEGRE","MARTHA.VIVIANA.BERNAL.AMAYA","HECTOR.ELIAS.PINEDA.SALAZAR","EDISON.LUCIO.TORRES.MORENO","DANIEL.QUINTERO.CALLE"
NA,"8800","CONSULADOS","8800325","DINAMARCA","8800325","88","8","8",921,178,6,4,168,0,25,42,2,1,5,68,4,3,6,0,4,2,1,0,5
NA,"8800","CONSULADOS","8800330","ECUADOR","8800330","88","106","106",41753,2514,98,174,2242,21,130,1280,167,98,67,219,27,68,38,16,31,13,5,9,53
NA,"8800","CONSULADOS","8800335","EGIPTO","8800335","88","8","8",294,53,3,0,50,0,4,26,4,2,1,10,1,1,0,0,1,0,0,0,0
NA,"8800","CONSULADOS","8800340","EL SALVADOR","8800340","88","9","9",746,200,3,8,189,0,14,106,11,3,7,21,1,7,5,5,5,3,0,0,1
NA,"8800","CONSULADOS","8800350","EMIRATOS ARABES UNIDOS","8800350","88","13","13",4000,565,5,41,519,1,26,296,13,13,13,100,14,5,14,1,14,0,3,1,5
NA,"8800","CONSULADOS","8800355","ESPANA","8800355","88","574","570",255821,21928,758,1801,19369,154,1661,8410,937,703,561,4128,320,505,480,199,361,122,66,92,670
NA,"8800","CONSULADOS","8800360","ESTADOS UNIDOS","8800360","88","841","812",405325,56891,1148,6099,49644,181,1715,32845,1589,1348,1563,5187,741,1703,956,409,663,80,60,52,552
NA,"8800","CONSULADOS","8800375","FINLANDIA","8800375","88","7","7",502,84,0,3,81,0,21,14,5,0,1,33,2,2,0,0,2,0,0,0,1
NA,"8800","CONSULADOS","8800380","FRANCIA","8800380","88","108","108",23436,3762,133,216,3413,27,488,930,155,62,95,1148,98,70,78,25,72,21,21,26,97
NA,"8800","CONSULADOS","8800115","GHANA","8800115","88","8","8",63,10,0,0,10,0,1,1,1,2,0,2,0,0,0,0,2,0,0,1,0
NA,"8800","CONSULADOS","8800410","GUATEMALA","8800410","88","9","9",2045,503,2,25,476,1,17,309,14,8,27,46,5,23,7,7,6,0,1,0,5
NA,"8800","CONSULADOS","8800430","HAITI","8800430","88","7","7",25,9,0,0,9,0,0,3,1,1,0,0,0,0,0,0,3,1,0,0,0
NA,"8800","CONSULADOS","8800440","HONDURAS","8800440","88","8","8",737,112,0,1,111,0,7,50,6,3,5,17,4,12,0,2,2,0,0,1,2
NA,"8800","CONSULADOS","8800445","HUNGRIA","8800445","88","7","7",363,88,0,5,83,0,14,21,3,2,2,30,3,2,0,0,1,0,0,0,5
NA,"8800","CONSULADOS","8800455","INDIA","8800455","88","7","7",82,10,0,0,10,0,0,3,0,0,0,4,3,0,0,0,0,0,0,0,0
NA,"8800","CONSULADOS","8800460","INDONESIA","8800460","88","7","7",96,12,0,0,12,0,3,8,0,1,0,0,0,0,0,0,0,0,0,0,0
NA,"8800","CONSULADOS","8800465","INGLATERRA","8800465","88","71","71",21350,2898,64,209,2625,14,241,1195,101,85,102,535,82,62,59,9,73,10,5,7,45
NA,"8800","CONSULADOS","8800470","IRLANDA","8800470","88","8","8",736,204,2,10,192,0,24,72,5,4,6,54,8,2,7,1,2,1,0,1,5
NA,"8800","CONSULADOS","8800490","ISRAEL","8800490","88","10","10",2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"8800","CONSULADOS","8800495","ITALIA","8800495","88","42","42",16830,2122,45,136,1941,9,190,686,63,52,57,620,42,36,52,16,28,11,5,3,71
NA,"8800","CONSULADOS","8800500","JAMAICA","8800500","88","8","8",300,34,4,3,27,0,1,12,4,2,3,1,0,3,0,0,0,0,0,1,0
NA,"8800","CONSULADOS","8800505","JAPON","8800505","88","16","16",1329,109,0,15,94,1,12,39,7,0,3,21,4,1,0,0,4,0,0,1,1
NA,"8800","CONSULADOS","8800515","KENIA","8800515","88","7","7",103,33,0,0,33,0,6,7,0,1,1,9,4,3,2,0,0,0,0,0,0
NA,"8800","CONSULADOS","8800535","LIBANO","8800535","88","9","9",1431,25,0,0,25,0,0,20,1,0,1,0,1,0,0,0,0,1,0,0,1
NA,"8800","CONSULADOS","8800560","MALASIA","8800560","88","7","7",153,44,0,1,43,0,5,21,1,0,5,5,3,1,2,0,0,0,0,0,0
NA,"8800","CONSULADOS","8800580","MARRUECOS","8800580","88","7","7",63,11,0,0,11,0,2,4,1,0,0,3,0,1,0,0,0,0,0,0,0
NA,"8800","CONSULADOS","8800590","MEXICO","8800590","88","83","83",18263,3902,36,181,3685,8,234,1840,123,78,186,693,119,116,137,19,53,13,8,4,54
NA,"8800","CONSULADOS","8800620","NICARAGUA","8800620","88","7","7",274,35,1,2,32,0,1,20,3,1,2,2,0,2,0,1,0,0,0,0,0
NA,"8800","CONSULADOS","8800635","NORUEGA","8800635","88","8","8",1019,129,1,3,125,0,16,40,5,1,6,45,1,0,0,0,2,1,0,1,7
NA,"8800","CONSULADOS","8800625","NUEVA ZELANDIA","8800625","88","10","10",1952,358,7,28,323,4,31,98,13,7,12,93,4,13,11,7,11,2,1,3,13
NA,"8800","CONSULADOS","8800435","PAISES BAJOS","8800435","88","21","21",5707,854,27,34,793,3,103,261,25,15,23,258,14,21,17,11,20,7,2,3,10
NA,"8800","CONSULADOS","8800655","PANAMA","8800655","88","72","72",26585,3198,104,200,2894,10,115,1760,89,84,106,400,35,99,83,28,37,12,3,2,31
NA,"8800","CONSULADOS","8800665","PARAGUAY","8800665","88","7","7",673,108,6,8,94,1,1,55,4,4,6,13,2,3,1,2,1,0,0,0,1
NA,"8800","CONSULADOS","8800670","PERU","8800670","88","25","25",8439,1123,14,55,1054,5,63,554,35,29,43,197,27,32,27,9,13,4,2,0,14
NA,"8800","CONSULADOS","8800675","POLONIA","8800675","88","11","11",2305,156,1,9,146,4,10,36,3,4,2,54,2,5,6,2,10,0,0,0,8
NA,"8800","CONSULADOS","8800680","PORTUGAL","8800680","88","13","13",4071,770,22,41,707,7,72,221,19,13,28,240,14,23,8,7,10,4,6,2,33
NA,"8800","CONSULADOS","8800683","PUERTO RICO","8800683","88","10","10",2109,307,5,24,278,1,15,178,8,6,6,35,5,7,6,1,4,2,0,0,4
NA,"8800","CONSULADOS","8800370","REPUBLICA DE FILIPINAS","8800370","88","7","7",171,29,0,0,29,0,9,8,1,1,1,7,1,0,0,1,0,0,0,0,0
NA,"8800","CONSULADOS","8800688","REPUBLICA DE SINGAPUR","8800688","88","7","7",328,97,0,2,95,0,3,38,7,0,6,21,9,5,2,1,1,0,1,0,1
NA,"8800","CONSULADOS","8800685","REPUBLICA DOMINICANA","8800685","88","12","12",3563,708,6,34,668,1,29,390,19,22,24,100,10,20,17,9,12,0,2,0,13
NA,"8800","CONSULADOS","8800690","REPUBLICA SOCIALISTA DE VIETNA","8800690","88","7","7",73,13,1,0,12,0,1,1,1,0,1,5,1,1,0,0,0,0,0,0,1
NA,"8800","CONSULADOS","8800700","RUSIA","8800700","88","8","8",806,38,1,1,36,0,6,6,2,0,1,15,1,1,0,0,0,0,0,0,4
NA,"8800","CONSULADOS","8800745","SUDAFRICA","8800745","88","8","8",215,48,0,3,45,0,6,22,0,1,0,8,2,3,0,0,2,0,1,0,0
NA,"8800","CONSULADOS","8800755","SUECIA","8800755","88","24","24",3479,343,15,16,312,2,57,101,14,5,5,79,5,5,8,3,5,1,4,3,15
NA,"8800","CONSULADOS","8800760","SUIZA","8800760","88","19","19",8103,1129,21,101,1007,5,129,430,33,24,29,206,36,27,31,9,21,2,4,4,17
NA,"8800","CONSULADOS","8800765","TAILANDIA","8800765","88","7","7",153,70,0,1,69,0,2,50,3,2,1,9,0,1,0,0,0,0,0,0,1
NA,"8800","CONSULADOS","8800785","TRINIDAD Y TOBAGO","8800785","88","9","9",281,53,0,0,53,0,2,24,3,1,7,6,0,5,1,1,1,0,1,0,1
NA,"8800","CONSULADOS","8800770","TURQUIA","8800770","88","14","14",403,80,2,2,76,0,10,22,1,1,4,17,4,4,3,0,3,0,2,1,4
NA,"8800","CONSULADOS","8800805","URUGUAY","8800805","88","8","8",1316,160,7,2,151,1,14,56,10,4,3,37,4,6,7,2,4,1,1,0,1
NA,"8800","CONSULADOS","8800815","VENEZUELA","8800815","88","349","349",177035,2656,231,96,2329,42,127,1313,226,220,37,62,32,76,28,29,29,22,17,30,39
"23068","1300","CORDOBA","1300004","AYAPEL","1300004","13","117","117",36987,2356,421,150,1785,11,170,976,87,57,17,74,8,31,26,18,99,22,9,41,139
"23079","1300","CORDOBA","1300007","BUENAVISTA","1300007","13","64","64",19576,1195,238,79,878,25,67,367,46,38,14,71,4,27,17,9,75,4,4,22,88
"23090","1300","CORDOBA","1300009","CANALETE","1300009","13","58","58",18357,918,128,57,733,4,56,390,41,20,7,33,5,29,12,6,45,3,2,21,59
"23162","1300","CORDOBA","1300010","CERETE","1300010","13","238","238",79395,12885,2401,1511,8973,135,997,3768,442,434,169,955,64,217,302,54,586,71,75,171,533
"23168","1300","CORDOBA","1300016","CHIMA","1300016","13","43","43",13686,967,133,63,771,10,44,378,26,41,6,50,2,34,17,7,100,3,7,9,37
"23182","1300","CORDOBA","1300019","CHINU","1300019","13","137","137",40765,5082,703,431,3948,34,259,2205,158,157,48,200,16,150,111,27,320,29,11,46,177
"23189","1300","CORDOBA","1300013","CIENAGA DE ORO","1300013","13","152","152",49141,3981,774,422,2785,17,213,1226,112,106,39,241,17,61,70,15,284,22,33,84,245
"23300","1300","CORDOBA","1300014","COTORRA","1300014","13","52","52",16845,1714,332,88,1294,13,135,573,63,49,20,94,11,25,59,6,150,11,10,22,53
"23350","1300","CORDOBA","1300020","LA APARTADA","1300020","13","41","41",13126,849,252,64,533,6,66,212,36,27,4,42,5,14,10,3,28,4,6,20,50
"23417","1300","CORDOBA","1300022","LORICA","1300022","13","287","287",94814,9158,1339,707,7112,59,550,3303,309,306,93,450,37,134,203,30,1000,55,41,149,393
"23419","1300","CORDOBA","1300023","LOS CORDOBAS","1300023","13","56","56",16858,1121,181,54,886,7,73,511,44,36,8,40,3,26,12,5,71,2,1,19,28
"23464","1300","CORDOBA","1300024","MOMIL","1300024","13","46","46",15124,1370,197,67,1106,5,46,573,60,42,9,98,2,19,17,5,145,7,7,13,58
"23466","1300","CORDOBA","1300025","MONTELIBANO","1300025","13","187","187",63800,5426,1125,615,3686,64,450,1328,208,128,53,343,26,68,107,46,283,30,24,93,435
"23001","1300","CORDOBA","1300001","MONTERIA","1300001","13","1138","1135",376892,77961,11828,8145,57988,596,5885,25604,3059,2355,823,6549,374,1579,2035,399,4187,424,356,831,2932
"23500","1300","CORDOBA","1300027","MONITOS","1300027","13","69","69",22402,1659,348,90,1221,16,129,630,62,51,20,60,16,35,14,10,85,12,3,20,58
"23555","1300","CORDOBA","1300028","PLANETA RICA","1300028","13","162","162",57839,4972,755,472,3745,35,270,1888,177,114,45,366,20,97,85,26,301,13,15,77,216
"23570","1300","CORDOBA","1300031","PUEBLO NUEVO","1300031","13","90","90",28189,1896,275,142,1479,14,83,806,61,58,22,92,9,54,37,16,80,12,16,31,88
"23574","1300","CORDOBA","1300033","PUERTO ESCONDIDO","1300033","13","65","65",20510,1526,281,83,1162,12,105,614,59,38,15,57,4,23,21,12,106,10,2,17,67
"23580","1300","CORDOBA","1300032","PUERTO LIBERTADOR","1300032","13","102","102",32875,2383,609,210,1564,25,192,546,84,63,28,111,10,45,26,18,164,13,14,76,149
"23586","1300","CORDOBA","1300034","PURISIMA DE LA CONCEPCION","1300034","13","47","47",14875,1535,331,101,1103,7,95,527,41,77,20,67,5,30,28,5,94,14,4,28,61
"23660","1300","CORDOBA","1300037","SAHAGUN","1300037","13","271","271",86638,9017,1363,813,6841,67,539,2800,278,235,98,489,40,314,177,177,970,54,39,108,456
"23670","1300","CORDOBA","1300040","SAN ANDRES DE SOTAVENTO","1300040","13","99","99",32798,2042,388,148,1506,4,137,667,78,89,26,88,16,44,37,13,130,11,7,37,122
"23672","1300","CORDOBA","1300043","SAN ANTERO","1300043","13","78","78",25053,2541,630,158,1753,25,143,890,85,95,32,73,9,55,40,12,126,22,9,31,106
"23675","1300","CORDOBA","1300046","SAN BERNARDO DEL VIENTO","1300046","13","92","92",29363,1951,472,208,1271,15,142,587,57,62,30,94,17,29,20,13,77,4,10,37,77
"23678","1300","CORDOBA","1300049","SAN CARLOS","1300049","13","69","69",22129,2113,436,117,1560,21,169,769,65,64,28,85,12,42,29,7,127,13,8,44,77
"23682","1300","CORDOBA","1300052","SAN JOSE DE URE","1300052","13","31","31",8745,654,193,67,394,9,64,123,20,9,4,24,3,18,2,2,36,2,4,20,54
"23686","1300","CORDOBA","1300055","SAN PELAYO","1300055","13","116","116",39286,4759,878,395,3486,43,450,1457,138,163,46,287,15,95,81,29,355,30,23,68,206
"23807","1300","CORDOBA","1300058","TIERRALTA","1300058","13","231","229",73305,6161,1484,445,4232,47,634,1757,192,151,58,232,31,113,71,34,440,42,21,110,299
"23815","1300","CORDOBA","1300060","TUCHIN","1300060","13","89","89",28285,1957,494,132,1331,16,112,677,71,76,12,67,10,24,24,5,63,16,9,34,115
"23855","1300","CORDOBA","1300061","VALENCIA","1300061","13","93","93",29327,2327,445,135,1747,38,254,686,77,63,18,116,16,47,46,18,206,14,8,30,110
"25001","1500","CUNDINAMARCA","1500004","AGUA DE DIOS","1500004","15","30","30",10001,1647,87,108,1452,5,180,696,51,47,21,258,7,77,36,4,30,4,4,8,24
"25019","1500","CUNDINAMARCA","1500007","ALBAN","1500007","15","17","17",5545,1209,52,88,1069,4,115,558,59,26,12,181,3,48,12,1,17,1,0,4,28
"25035","1500","CUNDINAMARCA","1500010","ANAPOIMA","1500010","15","41","41",13487,3460,217,197,3046,21,216,1667,136,94,77,412,34,131,97,19,74,4,4,6,54
"25040","1500","CUNDINAMARCA","1500013","ANOLAIMA","1500013","15","38","38",12351,2773,143,158,2472,6,222,1278,148,52,55,391,28,127,41,14,31,17,3,10,49
"25599","1500","CUNDINAMARCA","1500217","APULO","1500217","15","23","23",7408,1056,41,63,952,7,54,566,41,16,8,128,10,47,24,7,21,2,2,1,18
"25053","1500","CUNDINAMARCA","1500016","ARBELAEZ","1500016","15","31","31",9943,2684,176,172,2336,21,289,1283,63,63,52,306,23,110,28,4,43,10,3,5,33
"25086","1500","CUNDINAMARCA","1500019","BELTRAN","1500019","15","7","7",2278,456,53,40,363,2,21,246,14,7,1,35,3,4,3,1,5,3,3,7,8
"25095","1500","CUNDINAMARCA","1500022","BITUIMA","1500022","15","11","11",3023,754,74,34,646,5,69,352,21,15,15,81,3,25,8,7,21,4,1,2,17
"25099","1500","CUNDINAMARCA","1500025","BOJACA","1500025","15","23","23",7519,2134,126,253,1755,9,257,466,119,79,35,503,10,105,27,8,57,10,8,13,49
"25120","1500","CUNDINAMARCA","1500029","CABRERA","1500029","15","12","12",3687,263,16,19,228,0,47,105,17,3,0,23,0,7,1,0,21,1,0,0,3
"25123","1500","CUNDINAMARCA","1500030","CACHIPAY","1500030","15","31","31",9965,1957,67,101,1789,7,159,961,86,59,30,279,14,74,29,6,44,4,1,7,29
"25126","1500","CUNDINAMARCA","1500031","CAJICA","1500031","15","201","201",65041,25415,446,1687,23282,68,2521,8888,1570,438,701,6070,384,1173,327,89,453,86,43,51,420
"25148","1500","CUNDINAMARCA","1500034","CAPARRAPI","1500034","15","37","37",10960,1854,161,91,1602,2,90,1106,44,40,12,158,4,48,22,7,25,13,2,5,24
"25151","1500","CUNDINAMARCA","1500037","CAQUEZA","1500037","15","48","48",15096,3399,176,260,2963,14,314,1495,121,73,63,524,13,113,43,7,93,11,4,6,69
"25154","1500","CUNDINAMARCA","1500040","CARMEN DE CARUPA","1500040","15","21","21",6504,1229,65,102,1062,3,123,534,45,44,21,153,7,74,6,2,20,5,3,4,18
"25168","1500","CUNDINAMARCA","1500052","CHAGUANI","1500052","15","13","13",4094,1013,79,55,879,2,65,625,21,12,11,63,4,32,8,4,17,0,0,1,14
"25175","1500","CUNDINAMARCA","1500055","CHIA","1500055","15","360","360",120600,48750,1118,3210,44422,108,4350,17470,1943,1076,1542,11738,675,2476,698,187,1019,164,108,77,791
"25178","1500","CUNDINAMARCA","1500058","CHIPAQUE","1500058","15","26","26",8624,1985,153,173,1659,6,171,762,81,47,69,311,12,70,20,7,44,6,4,7,42
"25181","1500","CUNDINAMARCA","1500061","CHOACHI","1500061","15","38","38",12241,3030,90,153,2787,5,163,1619,66,72,59,507,11,114,37,6,61,8,6,11,42
"25183","1500","CUNDINAMARCA","1500064","CHOCONTA","1500064","15","53","53",17107,4276,260,346,3670,46,488,1445,224,149,93,687,86,227,50,16,41,20,14,8,76
"25200","1500","CUNDINAMARCA","1500043","COGUA","1500043","15","52","52",16878,4686,203,441,4042,18,669,1377,207,155,96,945,22,222,51,25,91,23,13,14,114
"25214","1500","CUNDINAMARCA","1500046","COTA","1500046","15","96","96",31160,9026,151,465,8410,18,668,3379,348,192,342,2268,122,509,105,26,217,36,18,18,144
"25224","1500","CUNDINAMARCA","1500049","CUCUNUBA","1500049","15","17","17",5394,1322,70,87,1165,3,97,645,40,59,16,130,7,92,11,4,34,6,2,1,18
"25245","1500","CUNDINAMARCA","1500067","EL COLEGIO","1500067","15","73","73",23977,4584,303,308,3973,24,456,1852,243,123,99,640,26,230,53,25,76,16,7,18,85
"25258","1500","CUNDINAMARCA","1500070","EL PENON","1500070","15","15","15",4653,809,84,26,699,2,41,462,32,14,11,81,1,29,8,2,5,1,0,2,8
"25260","1500","CUNDINAMARCA","1500072","EL ROSAL","1500072","15","61","61",20092,6404,407,891,5106,31,867,1743,471,204,122,1010,31,202,53,20,84,49,30,33,156
"25269","1500","CUNDINAMARCA","1500076","FACATATIVA","1500076","15","325","325",104175,27814,982,3115,23717,115,3226,6816,1447,723,491,7582,177,1179,229,103,457,200,106,133,733
"25279","1500","CUNDINAMARCA","1500079","FOMEQUE","1500079","15","32","32",10062,2777,169,161,2447,10,182,1478,82,71,38,285,33,133,25,10,46,6,3,4,41
"25281","1500","CUNDINAMARCA","1500085","FOSCA","1500085","15","18","18",5689,1038,74,52,912,10,44,606,16,12,7,123,10,38,5,2,23,2,1,0,13
"25286","1500","CUNDINAMARCA","1500088","FUNZA","1500088","15","250","250",80065,22249,786,2114,19349,84,2624,5326,1237,514,531,6202,158,982,227,84,424,112,75,71,698
"25288","1500","CUNDINAMARCA","1500091","FUQUENE","1500091","15","13","13",4312,1146,82,91,973,4,151,421,66,47,23,168,5,28,3,4,17,2,4,3,27
"25290","1500","CUNDINAMARCA","1500094","FUSAGASUGA","1500094","15","372","372",122077,34404,1546,3203,29655,102,3283,13148,1612,913,707,6065,216,1295,250,129,918,133,75,111,698
"25293","1500","CUNDINAMARCA","1500097","GACHALA","1500097","15","19","19",5309,963,25,29,909,11,92,504,28,10,23,110,5,66,6,8,24,1,0,1,20
"25295","1500","CUNDINAMARCA","1500100","GACHANCIPA","1500100","15","38","38",12669,2940,147,378,2415,15,421,768,137,77,37,586,22,127,21,8,65,22,10,18,81
"25297","1500","CUNDINAMARCA","1500103","GACHETA","1500103","15","29","29",9050,2213,154,129,1930,14,210,1107,64,38,36,280,6,60,32,9,27,7,3,3,34
"25299","1500","CUNDINAMARCA","1500106","GAMA","1500106","15","10","10",3192,784,55,40,689,4,80,359,26,28,5,87,4,40,11,1,35,2,0,1,6
"25307","1500","CUNDINAMARCA","1500109","GIRARDOT","1500109","15","267","267",87859,22806,1155,2367,19284,91,2146,9232,1085,699,387,3026,105,732,208,85,587,93,64,125,619
"25312","1500","CUNDINAMARCA","1500132","GRANADA","1500132","15","21","21",6720,1198,83,125,990,5,103,447,68,45,15,196,7,44,6,2,22,4,4,3,19
"25317","1500","CUNDINAMARCA","1500112","GUACHETA","1500112","15","30","30",9599,1992,138,156,1698,10,253,694,128,99,31,274,12,64,11,6,67,9,4,10,26
"25320","1500","CUNDINAMARCA","1500115","GUADUAS","1500115","15","77","77",22959,4968,410,417,4141,11,341,2363,255,165,53,537,22,121,32,12,87,14,6,17,105
"25322","1500","CUNDINAMARCA","1500118","GUASCA","1500118","15","38","38",12364,3371,161,270,2940,19,421,1142,132,122,70,632,23,167,28,22,68,20,8,14,52
"25324","1500","CUNDINAMARCA","1500121","GUATAQUI","1500121","15","9","9",2802,334,35,27,272,0,21,164,20,2,4,24,0,7,2,3,10,1,0,3,11
"25326","1500","CUNDINAMARCA","1500124","GUATAVITA","1500124","15","17","17",5645,1377,50,67,1260,2,153,566,50,31,41,258,11,68,18,6,32,4,1,1,18
"25328","1500","CUNDINAMARCA","1500127","GUAYABAL DE SIQUIMA","1500127","15","16","16",4604,1256,80,66,1110,6,127,557,38,38,31,165,10,42,13,3,48,5,2,5,20
"25335","1500","CUNDINAMARCA","1500128","GUAYABETAL","1500128","15","15","15",4776,1153,97,79,977,4,36,726,25,26,7,76,4,22,3,5,20,1,0,3,19
"25339","1500","CUNDINAMARCA","1500130","GUTIERREZ","1500130","15","9","9",2930,774,83,36,655,5,54,443,15,9,8,44,4,21,7,4,18,1,1,4,17
"25368","1500","CUNDINAMARCA","1500133","JERUSALEN","1500133","15","9","9",2873,449,27,23,399,5,34,259,15,11,4,39,2,10,4,1,4,0,0,2,9
"25372","1500","CUNDINAMARCA","1500136","JUNIN","1500136","15","18","18",5499,1171,105,91,975,4,93,531,53,33,22,90,4,81,11,1,18,4,2,2,26
"25377","1500","CUNDINAMARCA","1500139","LA CALERA","1500139","15","80","80",25398,7874,260,489,7125,23,707,2684,308,159,233,1916,127,397,101,34,216,38,15,12,155
"25386","1500","CUNDINAMARCA","1500142","LA MESA","1500142","15","87","87",27969,6395,301,484,5610,14,593,2490,397,148,157,1005,75,299,71,25,120,38,20,32,126
"25394","1500","CUNDINAMARCA","1500145","LA PALMA","1500145","15","28","28",8561,1217,122,73,1022,4,83,573,74,41,14,109,4,27,6,19,34,12,4,1,17
"25398","1500","CUNDINAMARCA","1500148","LA PENA","1500148","15","20","20",6159,1452,175,47,1230,5,47,883,20,33,14,101,2,31,49,5,18,2,1,3,16
"25402","1500","CUNDINAMARCA","1500151","LA VEGA","1500151","15","44","44",14488,3479,131,203,3145,4,232,1858,169,62,64,412,34,112,30,8,99,8,7,7,39
"25407","1500","CUNDINAMARCA","1500154","LENGUAZAQUE","1500154","15","24","24",7635,2830,162,139,2529,12,182,1707,73,83,32,224,9,114,15,7,30,10,4,1,26
"25426","1500","CUNDINAMARCA","1500157","MACHETA","1500157","15","20","20",6670,1945,119,88,1738,1,115,1140,58,37,26,202,12,66,16,5,29,10,1,2,18
"25430","1500","CUNDINAMARCA","1500160","MADRID","1500160","15","273","273",88351,25795,1079,2898,21818,129,3294,6017,1279,717,615,6529,164,1051,257,90,516,160,109,111,780
"25436","1500","CUNDINAMARCA","1500163","MANTA","1500163","15","13","13",4101,1195,89,48,1058,3,53,638,58,19,25,127,5,55,5,3,44,7,0,1,15
"25438","1500","CUNDINAMARCA","1500166","MEDINA","1500166","15","26","26",7047,1381,80,52,1249,4,24,960,32,33,13,92,4,46,7,1,15,3,0,2,13
"25473","1500","CUNDINAMARCA","1500169","MOSQUERA","1500169","15","292","292",95183,24883,648,1948,22287,92,2530,6562,1581,555,662,7304,198,1084,272,91,498,123,73,51,611
"25483","1500","CUNDINAMARCA","1500172","NARINO","1500172","15","9","9",2949,531,49,48,434,4,37,268,15,9,7,38,1,14,3,2,10,2,0,2,22
"25486","1500","CUNDINAMARCA","1500175","NEMOCON","1500175","15","35","35",11406,3106,200,349,2557,26,332,1048,126,129,50,541,11,93,25,5,68,12,10,11,70
"25488","1500","CUNDINAMARCA","1500178","NILO","1500178","15","20","20",6502,1367,134,109,1124,6,96,640,55,37,13,139,4,50,11,6,18,5,1,11,32
"25489","1500","CUNDINAMARCA","1500181","NIMAIMA","1500181","15","12","12",3485,929,73,42,814,5,44,473,20,25,13,138,1,38,7,6,28,2,1,3,10
"25491","1500","CUNDINAMARCA","1500184","NOCAIMA","1500184","15","17","17",5445,1316,120,93,1103,2,74,664,28,30,24,157,4,51,16,3,25,1,5,6,13
"25513","1500","CUNDINAMARCA","1500190","PACHO","1500190","15","75","75",23708,6735,387,385,5963,27,457,3066,645,148,103,828,35,353,45,12,103,22,8,14,97
"25518","1500","CUNDINAMARCA","1500193","PAIME","1500193","15","16","16",5243,921,69,21,831,4,49,564,21,12,4,61,1,57,10,2,29,3,0,1,13
"25524","1500","CUNDINAMARCA","1500196","PANDI","1500196","15","14","14",4431,777,81,70,626,2,68,328,33,17,18,72,3,41,7,3,15,1,1,1,16
"25530","1500","CUNDINAMARCA","1500198","PARATEBUENO","1500198","15","26","26",7847,1462,134,94,1234,5,51,851,52,55,18,101,1,37,11,1,18,8,1,2,22
"25535","1500","CUNDINAMARCA","1500199","PASCA","1500199","15","26","26",8587,1243,103,94,1046,4,137,416,63,33,21,184,11,69,18,6,21,2,4,6,51
"25572","1500","CUNDINAMARCA","1500202","PUERTO SALGAR","1500202","15","42","42",13515,1930,201,210,1519,4,125,868,83,68,13,159,11,49,17,11,36,10,6,21,38
"25580","1500","CUNDINAMARCA","1500205","PULI","1500205","15","12","12",2914,522,50,21,451,1,34,262,8,9,4,56,3,18,5,3,12,28,1,0,7
"25592","1500","CUNDINAMARCA","1500208","QUEBRADANEGRA","1500208","15","14","14",4380,1300,113,71,1116,2,58,764,33,21,22,118,4,34,5,1,35,3,1,0,15
"25594","1500","CUNDINAMARCA","1500211","QUETAME","1500211","15","18","18",5916,1372,100,115,1157,3,78,713,31,24,17,162,7,34,8,2,34,4,5,6,29
"25596","1500","CUNDINAMARCA","1500214","QUIPILE","1500214","15","21","21",6286,1411,108,42,1261,4,66,887,35,29,19,88,2,61,20,1,19,10,4,4,12
"25612","1500","CUNDINAMARCA","1500218","RICAURTE","1500218","15","40","40",12965,2716,192,215,2309,8,232,1138,165,69,63,365,13,86,18,9,48,7,10,17,61
"25645","1500","CUNDINAMARCA","1500220","SAN ANTONIO DEL TEQUENDAMA","1500220","15","28","28",9510,2257,143,141,1973,8,213,975,128,65,48,312,28,83,21,6,32,9,1,11,33
"25649","1500","CUNDINAMARCA","1500223","SAN BERNARDO","1500223","15","25","25",8031,1430,116,93,1221,4,139,621,39,34,24,199,16,47,16,6,41,3,2,4,26
"25653","1500","CUNDINAMARCA","1500226","SAN CAYETANO","1500226","15","17","17",4594,997,70,25,902,6,55,532,32,16,7,70,2,141,6,2,14,5,1,1,12
"25658","1500","CUNDINAMARCA","1500229","SAN FRANCISCO","1500229","15","32","32",9772,2875,169,181,2525,6,233,1384,125,76,47,324,31,117,32,15,67,10,4,5,49
"25662","1500","CUNDINAMARCA","1500232","SAN JUAN DE RIOSECO","1500232","15","30","30",9293,1756,116,107,1533,3,89,985,56,47,32,155,9,54,22,5,39,3,5,5,24
"25718","1500","CUNDINAMARCA","1500235","SASAIMA","1500235","15","30","30",9608,2296,149,131,2016,10,155,1123,102,42,92,243,14,120,21,6,29,10,3,3,43
"25736","1500","CUNDINAMARCA","1500238","SESQUILE","1500238","15","30","30",9646,1726,43,134,1549,8,200,615,57,42,40,386,15,79,7,4,41,5,4,10,36
